STATENAME,ST_CASE,FATALS,VE_TOTAL,COUNTY,CITY,MONTH,MONTHNAME,DAY,DAY_WEEK,YEAR,HOUR,URBAN-RURAL,LONGITUDE,LATITUDE,HARM_EV,LGT_COND,WEATHER,Vehicle_Make,Accident_Involved,Vehicle_Type
Hawaii,150031,1,1,HAWAII,Other,March,31,31,Thursday,2022,21,Rural,19.83823333,-155.7770083,Embankment,Dark - Not Lighted,Cloudy,"Chevrolet C, K, R, V-series pickup/Silverado",Pedestrian,"4-door sedan, hardtop"
Hawaii,150032,1,1,HAWAII,HILO,March,17,17,Thursday,2022,2,Urban,19.72678611,-155.0865167,Pedalcyclist,Dark - Not Lighted,Clear,Honda Ridgeline,"Post, Pole or Other Supports","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150033,1,1,MAUI,WAILUKU HAWAIIAN HOME LAND (HISTORICAL),April,14,14,Thursday,2022,20,Urban,20.86882778,-156.5029,Pedestrian,Dark - Not Lighted,Clear,Toyota Tacoma,Motor Vehicle In-Transport,Motor Scooter
Hawaii,150034,1,2,HAWAII,VOLCANO,April,19,19,Tuesday,2022,7,Rural,19.42900278,-155.2530694,Motor Vehicle In-Transport,Daylight,Clear,Pontiac Grand Prix (FWD),Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150035,2,1,HONOLULU,Other,April,20,20,Wednesday,2022,2,Urban,21.60646944,-157.9041111,Pedestrian,Dark - Lighted,Clear,Toyota Corolla,Fire/Explosion,Single-unit straight truck or Cab-Chassis
Hawaii,150036,1,1,HONOLULU,HONOLULU,April,23,23,Saturday,2022,9,Urban,21.32053889,-157.8611556,Pedestrian,Daylight,Rain,Other Make Sterling,Pedestrian,"2-door sedan,hardtop,coupe"
Hawaii,150037,1,3,MAUI,WAILUKU HAWAIIAN HOME LAND (HISTORICAL),April,24,24,Sunday,2022,5,Urban,20.84525556,-156.5056,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Ford F-Series pickup,Pedestrian,Light Pickup
Hawaii,150038,1,3,HAWAII,KAILUA KONA,May,2,2,Monday,2022,12,Urban,19.67355278,-155.9797722,Motor Vehicle In-Transport,Daylight,Cloudy,Toyota Corolla,Motor Vehicle In-Transport,Light Pickup
Hawaii,150039,2,2,HAWAII,WAIKOLOA VILLAGE,May,9,9,Monday,2022,1,Urban,19.916725,-155.8674944,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Toyota Tacoma,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150040,2,1,HONOLULU,WAHIAWA,May,22,22,Sunday,2022,15,Urban,21.51651389,-158.0536556,Ditch,Daylight,Clear,Honda Accord,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150042,1,3,HONOLULU,HALE`IWA,May,24,24,Tuesday,2022,17,Urban,21.58106111,-158.1051417,Motor Vehicle In-Transport,Daylight,Clear,Peterbilt Medium/Heavy - CBE,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150043,2,3,HONOLULU,KA`A`AWA,May,29,29,Sunday,2022,13,Urban,21.53976667,-157.8413778,Motor Vehicle In-Transport,Daylight,Cloudy,Harley-Davidson 750cc or greater,Pedestrian,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)"
Hawaii,150044,1,2,HONOLULU,KAPOLEI,May,30,30,Monday,2022,4,Urban,21.30941944,-158.1031583,Parked Motor Vehicle,Dark - Lighted,Clear,Toyota Tacoma,Embankment,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150045,2,2,HONOLULU,HONOLULU,May,29,29,Sunday,2022,17,Urban,21.28951389,-157.8297028,Motor Vehicle In-Transport,Daylight,Clear,Honda 450-749 cc,Concrete Traffic Barrier,"4-door sedan, hardtop"
Hawaii,150046,1,2,HAWAII,HILO,May,11,11,Wednesday,2022,7,Urban,19.71545278,-155.0838472,Pedestrian,Daylight,Clear,Toyota 4-Runner,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
